1|대구 동구 아양로 7 71|돈까스·회·일식|0507-1325-8824|정돈카츠|正돈카츠는 엄정하게 검증된 국내산 한돈의 등심, 안심, 특수부위만을 사용하며 正돈카츠 만의 숙성과 조리기법을 통해 최상의 육질과 육즙을 가진 돈카츠를 만듭니다.
2|대구 북구 경대로 19 1|패스트푸드|0508-8198-6327|다이나믹키친|복현동 수제버거 맛집 다이나믹키친 입니다.
3|대구 북구 경대로 17 2|카페·디저트|053-217-2481|목로카페|목로는 잔을 놓기 위해 기다랗게 만든 상을 의미합니다. 카페의 특성에 맞춰 나무(木)로 만든 공간을 마련하였습니다.
4|대구 북구 경대로 95|찜·탕·찌개|053-939-0203|색계찜닭 본점|NULL
5|대구 북구 경대로 95|돈까스·회·일식|010-3250-4862|우연 희|NULL
6|대구 북구 경대로 19 13|돈까스·회·일식|010-2521-7353|지구인클럽 돈가스|NULL
7|대구 북구 경대로 19 17|분식|053-292-5959|조아라떡볶이&닭강정|NULL
8|대구 북구 경대로 101|중식|053-939-8588|기황후|NULL
9|대구 북구 대학로 23 19-4|양식|053-269-5008|홍대 함바그|NULL
10|대구 북구 산격로 6 8-3|분식|053-421-4219|대우오뎅|NULL
11|대구 북구 대학로 13 3-9|족발·보쌈|053-954-0072|신서울족발보쌈|안녕하십니까! 저희 신서울족발보쌈은 족발 보쌈 전문점인 맛집입니다.
12|대구 북구 대학로 23 11|양식|070-7798-1547|미들31|NULL
13|대구 북구 대학로 23 14|양식|0507-1414-3994|벨로|안녕하세요 벨로입니다. 4년이 지났지만 항상 사랑해 주시고 아껴주셔서 결국 확장 이전까지! 앞으로도 열심히 최선을 다하겠습니다.
14|대구 북구 산격로 8 36|중식|053-215-8386|면탐정|NULL
15|대구 북구 산격로 10 37|양식|053-955-9733|앞치마입는남자|전메뉴 포장 가능합니다. 2인분 이상 포장시 음료 서비스 드려요! 매장이 협소해서 주차가 불가합니다.
16|대구 북구 대학로 17 15|양식|053-943-0906|팰럿|NULL   
17|대구 북구 산격로6 18|돈까스·회·일식|053-247-6678|마사|부드러운 구운 연어가 입속에서 사르르륵!
18|대구 북구 대학로 23 7|아시안|070-8278-1607|반미리코|저희 반미리코는 100% 국내산 쌀가루 반죽만을 사용하여 매일 매장에서 직접 구운 바게트로, 베트남 반미 샌드위치를 제공합니다.
19|대구 북구 대학로 23 16-1|찜·탕·찌개|0507-1404-0929|봉대박찜닭|NULL
20|대구 북구 대학로 80 경북대학교|학식|053-950-6041|공학관 학생식당|NULL
